scenEPR,scenCO2,scenH2,tech,generation,H2gene
3900,300,350,Biogas,0.308,64.2
3900,400,350,Biogas,0.304,73.35
3900,500,350,Biogas,0.168,77.25
3900,0,450,Biogas,0,50
3900,100,450,Biogas,0,50
3900,200,450,Biogas,0,51.6
3900,300,450,Biogas,0.308,53.275
3900,400,450,Biogas,0.3,63.3
3900,500,450,Biogas,0.188,71.275
3900,0,550,Biogas,0,50
3900,100,550,Biogas,0,50
3900,200,550,Biogas,0,50
3900,300,550,Biogas,0.296,51.625
3900,400,550,Biogas,0.268,51.6
3900,500,550,Biogas,0.192,59.425
3900,0,650,Biogas,0,50
3900,100,650,Biogas,0,50
3900,200,650,Biogas,0,50
3900,300,650,Biogas,0.296,51.65
3900,400,650,Biogas,0.264,51.625
3900,500,650,Biogas,0.228,51.625
4800,0,150,Biogas,0,50
4800,100,150,Biogas,0,64.675
4800,200,150,Biogas,0,72.05
4800,300,150,Biogas,0.344,73.975
4800,400,150,Biogas,0.192,85.375
4800,500,150,Biogas,0.164,86.375
4800,0,250,Biogas,0,50
4800,100,250,Biogas,0,50
4800,200,250,Biogas,0,63.7
4800,300,250,Biogas,0.316,66.05
4800,400,250,Biogas,0.324,77.425
4800,500,250,Biogas,0.168,84.075
4800,0,350,Biogas,0,50
4800,100,350,Biogas,0,50
4800,200,350,Biogas,0,51.55
4800,300,350,Biogas,0.304,57.6
4800,400,350,Biogas,0.312,64.625
4800,500,350,Biogas,0.212,75.525
4800,0,450,Biogas,0,50
4800,100,450,Biogas,0,50
4800,200,450,Biogas,0,51.6
4800,300,450,Biogas,0.304,51.575
4800,400,450,Biogas,0.316,53
4800,500,450,Biogas,0.196,63.575
4800,0,550,Biogas,0,50
4800,100,550,Biogas,0,50
4800,200,550,Biogas,0,50
4800,300,550,Biogas,0.304,51.575
4800,400,550,Biogas,0.316,51.575
4800,500,550,Biogas,0.256,56.9
4800,0,650,Biogas,0,50
4800,100,650,Biogas,0,50
4800,200,650,Biogas,0,50
4800,300,650,Biogas,0.304,51.575
4800,400,650,Biogas,0.316,51.6
4800,500,650,Biogas,0.296,51.7
3000,0,150,Biogas+CCS,0,50
3000,100,150,Biogas+CCS,0,51.95
3000,200,150,Biogas+CCS,0,63.8
3000,300,150,Biogas+CCS,28.09,67.175
3000,400,150,Biogas+CCS,28.09,68.9
3000,500,150,Biogas+CCS,28.06,61.1
3000,0,250,Biogas+CCS,0,50
3000,100,250,Biogas+CCS,0,50
3000,200,250,Biogas+CCS,0,51.05
3000,300,250,Biogas+CCS,28.05,60.775
3000,400,250,Biogas+CCS,28.09,62.775
3000,500,250,Biogas+CCS,28.06,59.3
3000,0,350,Biogas+CCS,0,50
3000,100,350,Biogas+CCS,0,50
3000,200,350,Biogas+CCS,0,51.05
3000,300,350,Biogas+CCS,28.05,51.075
3000,400,350,Biogas+CCS,28.05,59.825
3000,500,350,Biogas+CCS,28.06,59.75
3000,0,450,Biogas+CCS,0,50
3000,100,450,Biogas+CCS,0,50
3000,200,450,Biogas+CCS,0,50
3000,300,450,Biogas+CCS,28.05,51.075
3000,400,450,Biogas+CCS,28.05,53.2
3000,500,450,Biogas+CCS,28.06,59.275
3000,0,550,Biogas+CCS,0,50
3000,100,550,Biogas+CCS,0,50
3000,200,550,Biogas+CCS,0,50
3000,300,550,Biogas+CCS,28.05,51.125
3000,400,550,Biogas+CCS,28.05,51.3
3000,500,550,Biogas+CCS,28.07,51.95
3000,0,650,Biogas+CCS,0,50
3000,100,650,Biogas+CCS,0,50
3000,200,650,Biogas+CCS,0,50
3000,300,650,Biogas+CCS,28.05,51.2
3000,400,650,Biogas+CCS,28.05,51.375
3000,500,650,Biogas+CCS,28.06,51.6
3900,0,150,Biogas+CCS,0,50
3900,100,150,Biogas+CCS,0,64.675
3900,200,150,Biogas+CCS,0,72.05
3900,300,150,Biogas+CCS,27.71,80.45
3900,400,150,Biogas+CCS,28.04,84.925
3900,500,150,Biogas+CCS,28.09,85.175
3900,0,250,Biogas+CCS,0,50
3900,100,250,Biogas+CCS,0,50
3900,200,250,Biogas+CCS,0,63.725
3900,300,250,Biogas+CCS,27.72,72.075
3900,400,250,Biogas+CCS,27.95,79.65
3900,500,250,Biogas+CCS,28.02,80.775
3900,0,350,Biogas+CCS,0,50
3900,100,350,Biogas+CCS,0,50
3900,200,350,Biogas+CCS,0,51.55
3900,300,350,Biogas+CCS,27.72,64.2
3900,400,350,Biogas+CCS,27.73,73.35
3900,500,350,Biogas+CCS,27.99,77.25
3900,0,450,Biogas+CCS,0,50
3900,100,450,Biogas+CCS,0,50
3900,200,450,Biogas+CCS,0,51.6
3900,300,450,Biogas+CCS,27.72,53.275
3900,400,450,Biogas+CCS,27.74,63.3
